Date,CDS,US10Y,DXY,RESERVES,ln_DXY,ln_RES,BRUNSON,AGBAL
2015-01-16,181.13,1.83,92.52,130348.0,4.527424837363238,11.777963075937455,0,0
2015-01-23,177.965,1.81,94.762,129311.0,4.551368485019736,11.769975634613951,0,0
2015-01-30,184.89,1.68,94.804,130527.0,4.5518116024636575,11.77933538089647,0,0
2015-02-06,189.575,1.95,94.698,130925.0,4.550692880644835,11.782379919147688,0,0
2015-02-13,188.45,2.02,94.201,128606.0,4.545430797237223,11.764508745995885,0,0
2015-02-20,184.88,2.13,94.253,127718.0,4.545982656060276,11.757579987451491,0,0
2015-02-27,196.415,2.0,95.293,128484.0,4.556956355706374,11.763559661946271,0,0
2015-03-06,212.67,2.24,97.615,127858.0,4.581031170134765,11.758675552089823,0,0
2015-03-13,216.865,2.13,100.33,125795.0,4.608464752937522,11.742408876830618,0,0
2015-03-20,208.53,1.93,97.909,121855.0,4.584038475852481,11.710587092269746,0,0
2015-03-27,215.95,1.95,97.291,123422.0,4.577706487483181,11.7233646565728,0,0
2015-04-03,213.72,1.85,96.545,121569.0,4.5700092208945025,11.708237281802427,0,0
2015-04-10,210.03,1.96,99.338,121759.0,4.598528176599547,11.709798960183994,0,0
2015-04-17,229.33,1.87,97.52,122374.0,4.5800574851730165,11.714837208195746,0,0
2015-04-24,228.32,1.93,96.922,122068.0,4.573906531311147,11.712333545487683,0,0
2015-05-01,223.14,2.12,95.297,122856.0,4.5569983306263655,11.718768216805529,0,0
2015-05-08,219.93,2.16,94.794,121913.0,4.551706116118767,11.711062954574023,0,0
2015-05-15,208.82,2.14,93.135,121788.0,4.5340500534849655,11.710037107236818,0,0
2015-05-22,202.885,2.21,96.014,120860.0,4.564494014168523,11.70238812991555,0,0
2015-05-29,208.855,2.12,96.907,120651.0,4.573751755709663,11.700657359456459,0,0
2015-06-05,215.035,2.41,96.306,122415.0,4.567530622159135,11.715172190571453,0,0
2015-06-12,227.445,2.39,94.972,122368.0,4.553582111314996,11.714788176971018,0,0
2015-06-19,224.65,2.26,94.085,120864.0,4.544198628996607,11.702421225512184,0,0
2015-06-26,214.92,2.49,95.472,119909.0,4.558833010779726,11.69448840075068,0,0
2015-07-03,218.625,2.4,96.113,120313.0,4.565524582581729,11.697851959299761,0,0
2015-07-10,214.545,2.42,96.025,120400.0,4.564608574231968,11.698574811856858,0,0
2015-07-17,210.765,2.34,97.862,120302.0,4.583558323011631,11.697760526928482,0,0
2015-07-24,224.825,2.27,97.244,119006.0,4.5772232839371405,11.68692919099068,0,0
2015-07-31,235.42,2.2,97.336,120639.0,4.5781689104851475,11.70055789408276,0,0
2015-08-07,245.005,2.18,97.563,120479.0,4.580498323182441,11.699230742866472,0,0
2015-08-14,256.54,2.2,96.52,120657.0,4.569750240756831,11.700707088433544,0,0
2015-08-21,278.465,2.05,95.008,120358.0,4.5539610985813495,11.698225913789702,0,0
2015-08-28,259.97,2.19,96.106,120414.0,4.565451748990845,11.698691084166738,0,0
2015-09-04,273.8049999999999,2.13,96.229,121106.0,4.5667307675445965,11.704421474143722,0,0
2015-09-11,292.055,2.2,95.194,119268.0,4.555916914601063,11.689128340756007,0,0
